Meter,SubMeter,Reporting Category,Reporting SubCategory
Azure Kubernetes Service,*,Container PaaS,Containers
Azure Active Directory for External Identities,*,Identity PaaS,Identity
Azure Cognitive Search,*,Specialist PaaS,AI
Cognitive Services,*,Specialist PaaS,AI
Machine Learning Studio,*,Specialist PaaS,AI
Azure Analysis Services,*,Data PaaS,Analytics
Azure Data Explorer,*,Data PaaS,Analytics
Azure Databricks,*,Data PaaS,Analytics
Azure Purview,*,Data PaaS,Analytics
Azure Synapse Analytics,*,Data PaaS,Analytics
Data Catalog,*,Data PaaS,Analytics
Data Lake Analytics,*,Data PaaS,Analytics
Data Lake Store,*,Data PaaS,Analytics
Insight and Analytics,*,Data PaaS,Analytics
Power BI Embedded,*,Data PaaS,Analytics
SQL Data Warehouse,*,Data PaaS,Analytics
Time Series Insights,*,Data PaaS,Analytics
Automation,*,Operational PaaS,Automation
Scheduler,*,Operational PaaS,Automation
Azure Bot Service,*,Specialist PaaS,Bot
Redis Cache,*,Data PaaS,Cache
Content Delivery Network,*,Operational PaaS,CDN
Cloud Services,*,IaaS,Compute
Virtual Machines,*,IaaS,Compute
Container Instances,*,Container PaaS,Containers
Container Registry,*,Container PaaS,Containers
Event Grid,*,Serverless PaaS,Events
Event Hubs,*,Serverless PaaS,Events
Service Bus,*,Serverless PaaS,Events
Stream Analytics,*,Data PaaS,Events
Azure NetApp Files,*,Data PaaS,Files
Functions,*,Serverless PaaS,Functions
Logic Apps,*,Serverless PaaS,Functions
Azure Active Directory B2C,*,Identity PaaS,Identity
Azure Active Directory Domain Services,*,Identity PaaS,Identity
Security Center,*,Security PaaS,InsightsAlerts
Advanced Threat Protection,*,Security PaaS,ATP
Perimeter,*,Security PaaS,Perimeter
Sentinel,*,Security PaaS,InsightsAlerts
Azure Data Factory,*,Data PaaS,Integration
Azure Data Factory v2,*,Data PaaS,Integration
IoT Hub,*,Specialist PaaS,IOT
Virtual Machines Licenses,*,IaaS,Licence
API Management,*,Serverless PaaS,API Management
App Configuration,*,Operational PaaS,ManagementPerimeter
Azure Maps,*,Specialist PaaS,Maps
Application Insights,*,Operational PaaS,Monitoring
Azure Monitor,*,Operational PaaS,Monitoring
Log Analytics,*,Operational PaaS,Monitoring
Bandwidth,*,Operational PaaS,Network
ExpressRoute,*,Operational PaaS,Network
Load Balancer,*,Operational PaaS,Network
