VM,Cores,MemGB
standard_e8-4s_v3,4,64
standard_e32-16s_v3,16,256
standard_e64-16s_v3,16,432
standard_e16-8s_v3,8,128
standard_e32-16ds_v4,16,256
standard_ds2_v2_promo,2,7
standard_nc6s_v3,6,112
standard_nc6s_v2,6,112
standard_d2_v2_promo,2,7
standard_nv6_promo,6,56
standard_ds3_v2_promo,4,14
standard_d4_v2_promo,8,28
standard_nc6_promo,6,56
standard_ds13_v2_promo,8,56
standard_ds12_v2_promo,4,28
standard_ds4_v2_promo,8,28
Standard_E96as_v4,96,672
Standard_E96-48as_v4,96,672
Standard_E96-24as_v4,96,672
Standard_E64as_v4,64,512
Standard_E64-32as_v4,64,512
Standard_E64-16as_v4,64,512
Standard_E48as_v4,48,384
Standard_E32as_v4,32,256
Standard_E32-16as_v4,32,256
Standard_E32-8as_v4,32,256
Standard_E20as_v4,20,160
Standard_E16as_v4,16,128
Standard_E16-8as_v4,16,128
Standard_E16-4as_v4,16,128
Standard_E8as_v4,8,64
Standard_E8-4as_v4,8,64
Standard_E8-2as_v4,8,64
Standard_E4as_v4,4,32
Standard_E4-2as_v4,4,32
Standard_E2as_v4,2,16
Standard_E96a_v4,96,672
Standard_E64a_v4,64,512
Standard_E48a_v4,48,384
Standard_E32a_v4,32,256
Standard_E20a_v4,20,160
Standard_E16a_v4,16,128
Standard_E8a_v4,8,64
Standard_E4a_v4,4,32
Standard_E2a_v4,2,16
Standard_D96as_v4,96,384
Standard_D64as_v4,64,256
Standard_D48as_v4,48,192
Standard_D32as_v4,32,128
Standard_D16as_v4,16,64
Standard_D8as_v4,8,32
Standard_D4as_v4,4,16
Standard_D2as_v4,2,8
Standard_D96a_v4,96,384
Standard_D64a_v4,64,256
Standard_D48a_v4,48,192
Standard_D32a_v4,32,128
Standard_D16a_v4,16,64
Standard_D8a_v4,8,32
Standard_D4a_v4,4,16
Standard_D2a_v4,2,8
Standard_M416ms_v2,416,11400
Standard_M416s_v2,416,5700
Standard_M208s_v2,208,2850
Standard_M208ms_v2,208,5700
Standard_H16mr,16,224
Standard_H16r,16,112
Standard_H16m,16,224
Standard_H8m,8,112
Standard_H16,16,112
Standard_H8,8,56
Standard_NV48s_v3,48,448
Standard_NV24s_v3,24,224
Standard_NV12s_v3,12,112
Standard_NV24s_v2,24,448
Standard_NV12s_v2,12,224
Standard_NV6s_v2,6,112
Standard_A11,16,112
Standard_A10,8,56
Standard_A9,16,112
Standard_A8,8,56
Standard_M128s,128,2000
Standard_M128ms,128,3800
Standard_M64s,64,1000
Standard_M64ms,64,1750
Standard_M64ls,64,512
Standard_M32ts,32,192
Standard_M32ms,32,875
Standard_M32ls,32,256
Standard_M16ms,16,437.5
Standard_M8ms,8,218.75
Standard_L32s,32,256
Standard_L16s,16,128
Standard_L8s,8,64
Standard_L4s,4,32
Standard_GS5,32,448
Standard_GS4,16,224
Standard_GS3,8,112
Standard_GS2,4,56
Standard_GS1,2,28
Standard_G5,32,448
Standard_G4,16,224
Standard_G3,8,112
Standard_G2,4,56
Standard_G1,2,28
Standard_F72s_v2,72,144
Standard_F64s_v2,64,128
Standard_F48s_v2,48,96
Standard_F32s_v2,32,64
Standard_F16s_v2,16,32
Standard_F8s_v2,8,16
Standard_F4s_v2,4,8
Standard_F2s_v2,2,4
Standard_D64s_v4,64,256
Standard_D48s_v4,48,192
Standard_D32s_v4,32,128
Standard_D16s_v4,16,64
Standard_D8s_v4,8,32
Standard_D4s_v4,4,16
Standard_D2s_v4,2,8
Standard_D64ds_v4,64,256
Standard_D48ds_v4,48,192
Standard_D32ds_v4,32,128
Standard_D16ds_v4,16,64
Standard_D8ds_v4,8,32
Standard_D4ds_v4,4,16
Standard_D2ds_v4,2,8
Standard_D64_v4,64,256
Standard_D48_v4,48,192
Standard_D32_v4,32,128
Standard_D16_v4,16,64
Standard_D8_v4,8,32
Standard_D4_v4,4,16
Standard_D2_v4,2,8
Standard_D64d_v4,64,256
Standard_D48d_v4,48,192
Standard_D32d_v4,32,128
Standard_D16d_v4,16,64
Standard_D8d_v4,8,32
Standard_D4d_v4,4,16
Standard_D2d_v4,2,8
Standard_E80ids_v4,80,504
Standard_E64ds_v4,64,504
Standard_E64-32ds_v4,64,504
Standard_E64-16ds_v4,64,504
Standard_E48ds_v4,48,384
Standard_E32ds_v4,32,256
Standard_E32-16ds_v4,32,256
Standard_E32-8ds_v4,32,256
Standard_E20ds_v4,20,160
Standard_E16ds_v4,16,128
Standard_E16-8ds_v4,16,128
Standard_E16-4ds_v4,16,128
Standard_E8ds_v4,8,64
Standard_E8-4ds_v4,8,64
Standard_E8-2ds_v4,8,64
Standard_E4ds_v4,4,32
Standard_E4-2ds_v4,4,32
Standard_E2ds_v4,2,16
Standard_E80is_v4,80,504
Standard_E64s_v4,64,504
Standard_E64-32s_v4,64,504
Standard_E64-16s_v4,64,504
Standard_E48s_v4,48,384
Standard_E32s_v4,32,256
Standard_E32-16s_v4,32,256
Standard_E32-8s_v4,32,256
Standard_E20s_v4,20,160
Standard_E16s_v4,16,128
Standard_E16-8s_v4,16,128
Standard_E16-4s_v4,16,128
Standard_E8s_v4,8,64
Standard_E8-4s_v4,8,64
Standard_E8-2s_v4,8,64
Standard_E4s_v4,4,32
Standard_E4-2s_v4,4,32
Standard_E2s_v4,2,16
Standard_E64d_v4,64,504
Standard_E48d_v4,48,384
Standard_E32d_v4,32,256
Standard_E20d_v4,20,160
Standard_E16d_v4,16,128
Standard_E8d_v4,8,64
Standard_E4d_v4,4,32
Standard_E2d_v4,2,16
Standard_E64_v4,64,504
Standard_E48_v4,48,384
Standard_E32_v4,32,256
Standard_E20_v4,20,160
Standard_E16_v4,16,128
Standard_E8_v4,8,64
Standard_E4_v4,4,32
Standard_E2_v4,2,16
Standard_L80s_v2,80,640
Standard_L64s_v2,64,512
Standard_L48s_v2,48,384
Standard_L32s_v2,32,256
Standard_L16s_v2,16,128
Standard_L8s_v2,8,64
Standard_DC4s_v2,4,16
Standard_DC2s_v2,2,8
Standard_DC1s_v2,1,4
Standard_DC8_v2,8,32
Standard_DS14,16,112
Standard_DS13,8,56
Standard_DS12,4,28
Standard_DS11,2,14
Standard_DS4,8,28
Standard_DS3,4,14
Standard_DS2,2,7
Standard_DS1,1,3.5
Standard_D14,16,112
Standard_D13,8,56
Standard_D12,4,28
Standard_D11,2,14
Standard_D4,8,28
Standard_D3,4,14
Standard_D2,2,7
Standard_D1,1,3.5
Standard_E64s_v3,64,432
Standard_E64is_v3,64,432
Standard_E48s_v3,48,384
Standard_E32s_v3,32,256
Standard_E20s_v3,20,160
Standard_E16s_v3,16,128
Standard_E8s_v3,8,64
Standard_E4s_v3,4,32
Standard_E2s_v3,2,16
Standard_E64_v3,64,432
Standard_E64i_v3,64,432
Standard_E48_v3,48,384
Standard_E32_v3,32,256
Standard_E20_v3,20,160
Standard_E16_v3,16,128
Standard_E8_v3,8,64
Standard_E4_v3,4,32
Standard_E2_v3,2,16
Standard_D64s_v3,64,256
Standard_D48s_v3,48,192
Standard_D64_v3,64,256
Standard_D48_v3,48,192
Standard_D32_v3,32,128
Standard_D16_v3,16,64
Standard_D8_v3,8,32
Standard_D4_v3,4,16
Standard_D2_v3,2,8
Standard_A8_v2,8,16
Standard_A8m_v2,8,64
Standard_A4_v2,4,8
Standard_A4m_v2,4,32
Standard_A2_v2,2,4
Standard_A2m_v2,2,16
Standard_A1_v2,1,2
Standard_F16,16,32
Standard_F8,8,16
Standard_F4,4,8
Standard_F2,2,4
Standard_F1,1,2
Standard_D15_v2,20,140
Standard_D14_v2,16,112
Standard_D13_v2,8,56
Standard_D12_v2,4,28
Standard_D11_v2,2,14
Standard_D5_v2,16,56
Standard_D4_v2,8,28
Standard_D3_v2,4,14
Standard_D2_v2,2,7
